iter	Passed	Remaining
0	3	792
1	7	786
2	12	800
3	16	797
4	20	783
5	23	772
6	28	774
7	32	772
8	36	771
9	40	772
10	45	776
11	49	773
12	53	771
13	57	768
14	61	761
15	65	752
16	69	750
17	73	744
18	77	741
19	81	733
20	85	731
21	90	731
22	94	727
23	98	724
24	103	723
25	107	717
26	111	714
27	115	708
28	119	703
29	124	704
30	129	704
31	133	701
32	138	700
33	142	697
34	147	694
35	151	691
36	156	687
37	159	680
38	162	672
39	166	664
40	169	657
41	172	650
42	176	643
43	179	636
44	183	630
45	186	624
46	190	618
47	193	612
48	196	606
49	200	601
50	203	594
51	206	588
52	210	582
53	213	576
54	216	570
55	219	565
56	222	558
57	226	553
58	229	549
59	233	544
60	236	539
61	240	534
62	243	529
63	247	524
64	250	520
65	253	514
66	256	509
67	259	504
68	262	499
69	266	494
70	269	489
71	273	485
72	275	480
73	279	475
74	282	471
75	286	467
76	289	462
77	292	457
78	296	453
79	299	449
80	303	445
81	306	441
82	310	437
83	313	432
84	316	428
85	319	423
86	323	419
87	326	415
88	329	411
89	333	407
90	336	403
91	340	399
92	343	395
93	347	391
94	349	386
95	353	382
96	356	378
97	360	374
98	363	370
99	366	366
100	369	362
101	372	358
102	376	354
103	379	350
104	382	346
105	386	342
106	389	338
107	392	334
108	396	330
109	399	326
110	402	322
111	405	318
112	408	314
113	412	311
114	415	307
115	418	302
116	421	299
117	424	295
118	427	291
119	431	287
120	434	283
121	437	279
122	440	275
123	443	272
124	447	268
125	450	264
126	453	260
127	456	256
128	460	253
129	463	249
130	466	245
131	469	241
132	473	238
133	477	234
134	480	231
135	484	227
136	487	224
137	491	220
138	494	217
139	497	213
140	500	209
141	504	206
142	508	202
143	511	198
144	514	195
145	517	191
146	521	188
147	524	184
148	528	180
149	531	177
150	534	173
151	537	169
152	540	166
153	543	162
154	547	158
155	550	155
156	554	151
157	557	148
158	560	144
159	563	140
160	566	137
161	570	133
162	573	130
163	576	126
164	580	123
165	583	119
166	587	116
167	590	112
168	593	108
169	596	105
170	600	101
171	603	98
172	607	94
173	610	91
174	613	87
175	616	84
176	620	80
177	623	77
178	626	73
179	630	70
180	633	66
181	636	62
182	639	59
183	643	55
184	647	52
185	652	49
186	656	45
187	660	42
188	664	38
189	668	35
190	672	31
191	676	28
192	680	24
193	685	21
194	689	17
195	693	14
196	697	10
197	702	7
198	706	3
199	710	0
